"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2022","SFRCB","Supplemental gaseous fuels consumed by the residential sector","Billion Btu",0,128,17
"2022","SFTCB","Supplemental gaseous fuels total consumption","Billion Btu",0,418,123
"2022","LOCCB","The commercial sector's share of electrical system energy losses","Billion Btu",39496,157226,380555
"2022","LOICB","The industrial sector's share of electrical system energy losses","Billion Btu",985,20500,93596
"2022","LORCB","The residential sector's share of electrical system energy losses","Billion Btu",13648,159742,259329
"2022","LOACB","The transportation sector's share of electrical system energy losses","Billion Btu",1358,2233,721
"2022","ELGBP","Total (all fuels) electric generating units net summer capacity in all sectors","Thousand kilowatts",51,11908,29169
"2022","LDVHN","Total (all fuels) vehicle light-duty stocks","Thousands of registered vehicles",296.5,4703.5,7094.1
"2022","BXSUB","Total biofuels (excluding fuel ethanol) product supplied","Billion Btu",31,858,2018
"2022","BXSUP","Total biofuels (excluding fuel ethanol) product supplied","Thousand barrels",6,160,377
"2022","EVCHN","Total charging ports for electric vehicles","Number",1576,5351,4712
"2022","DATCB","Total distillate fuel oil, biodiesel, and renewable diesel consumption","Billion Btu",3730,94881,196383
"2022","DATCP","Total distillate fuel oil, biodiesel, and renewable diesel consumption","Thousand barrels",647,16464,34084
"2022","ELVHN","Total electric vehicle (EV) light-duty stocks","Thousands of registered vehicles",8,59.9,67.6
"2022","EVCHP","Total electric vehicle charging locations","Number",349,1546,1368
"2022","LOTCB","Total electrical system energy losses","Billion Btu",55487,339701,734201
"2022","LOTXB","Total electrical system energy losses allocated to the end-use sectors","Billion Btu",55487,339701,734201
"2022","TETXD","Total end-use energy average price","Dollars per million Btu",30.84,29.98,25.57
"2022","TNTCB","Total end-use energy consumption","Billion Btu",85665,867925,1715669
"2022","TETXV","Total end-use energy expenditures","Million dollars",2574.6,24824,42559.3
"2022","TETXB","Total end-use sector energy consumption","Billion Btu",141151,1207626,2449870
"2022","TECCE","Total energy CO2 emissions for the commercial sector","Million metric tons CO2",0.9,NA,NA
"2022","TEEIE","Total energy CO2 emissions for the electric power sector","Million metric tons CO2",NA,NA,22.9
"2022","TERCE","Total energy CO2 emissions for the residential sector","Million metric tons CO2",NA,6,6.4
"2022","TETCD","Total energy average price","Dollars per million Btu",30.84,29.98,25.57
"2022","TECCD","Total energy average price in the commercial sector","Dollars per million Btu",32.7,26.86,23.52
"2022","TEICD","Total energy average price in the industrial sector","Dollars per million Btu",21.05,20.28,12.76
"2022","TERCD","Total energy average price in the residential sector","Dollars per million Btu",26.76,30.15,30.18
"2022","TEACD","Total energy average price in the transportation sector","Dollars per million Btu",34.19,33.33,30.26
"2022","TETCB","Total energy consumption","Billion Btu",141151,1207626,2449868
"2022","TECCB","Total energy consumption in the commercial sector","Billion Btu",82645,351022,736232
"2022","TEEIB","Total energy consumption in the electric power sector plus net imports of electricity into the United States","Billion Btu",76,325616,747634
"2022","TEICB","Total energy consumption in the industrial sector","Billion Btu",5222,87877,418938
"2022","TERCB","Total energy consumption in the residential sector","Billion Btu",35568,373086,558266
"2022","TEACB","Total energy consumption in the transportation sector","Billion Btu",17716,395641,736435
"2022","TETPB","Total energy consumption per capita","Million Btu",208.6,195,282.1
"2022","TECPB","Total energy consumption per capita in the commercial sector","Million Btu",122.1,56.7,84.8
"2022","TEIPB","Total energy consumption per capita in the industrial sector","Million Btu",7.7,14.2,48.2
"2022","TERPB","Total energy consumption per capita in the residential sector","Million Btu",52.6,60.2,64.3
"2022","TEAPB","Total energy consumption per capita in the transportation sector","Million Btu",26.2,63.9,84.8
"2022","TETGR","Total energy consumption per dollar of real gross domestic product (GDP)","Thousand Btu per chained (2017) dollar",0.98,2.9,4.22
"2022","TETCV","Total energy expenditures","Million dollars",2574.6,24824,42559.3
"2022","TECCV","Total energy expenditures in the commercial sector","Million dollars",1403.6,5160.4,8285.7
"2022","TEICV","Total energy expenditures in the industrial sector","Million dollars",89.2,1357.3,3940.4
"2022","TERCV","Total energy expenditures in the residential sector","Million dollars",576.2,6196.7,8513.6
"2022","TEACV","Total energy expenditures in the transportation sector","Million dollars",505.7,12109.6,21819.7
"2022","TETPV","Total energy expenditures per capita","Dollars",3804.5,4008.8,4901.2
"2022","TEPFB","Total energy used as process fuel and other consumption that has no direct fuel costs","Billion Btu",57680,379965,785739
"2022","TERFB","Total energy used as refinery fuel and intermediate products","Billion Btu",0,0,0
"2022","TNCSB","Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",42916,192152,352300
"2022","TNISB","Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",4238,66941,308781
"2022","TNRSB","Total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",21529,205561,282094
"2022","TNASB","Total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",14789,363275,721009
"2022","TNSCB","Total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost","Billion Btu",83471,827928,1664185
"2022","PMTCE","Total petroleum, excluding biofuels, CO2 emissions for all sectors","Million metric tons CO2  ",NA,28.3,NA
"2022","PMEIE","Total petroleum, excluding biofuels, CO2 emissions for the electric power sector","Million metric tons CO2",NA,0.1,NA
"2022","PMACE","Total petroleum, excluding biofuels, CO2 emissions for the transportation sector","Million metric tons CO2",NA,NA,49
"2022","TEPRB","Total primary energy production","Billion Btu",1701,219163,826347
"2022","UOICB","Unfinished oils consumed by the industrial sector","Billion Btu",0,0,0
"2022","UOICP","Unfinished oils consumed by the industrial sector","Thousand barrels",0,0,0
"2022","USICB","Unfractionated streams consumed by the industrial sector (through 1983)","Billion Btu",0,0,0
"2022","USICP","Unfractionated streams consumed by the industrial sector (through 1983)","Thousand barrels",0,0,0
"2022","WSEIB","Waste consumed by the electric power sector","Billion Btu",0,5779,6291
"2022","WSCCB","Waste energy consumed by the commercial sector","Billion Btu",1001,0,9228
"2022","WSICB","Waste energy consumed by the industrial sector","Billion Btu",0,304,2371
"2022","WSTCB","Waste energy total consumption","Billion Btu",1001,6083,17890
"2022","WSGBP","Waste generating units net summer capacity in all sectors","Thousand kilowatts",12,137,306
"2022","WZEIB","Waste, excluding biodiesel, consumed by the electric power sector","Billion Btu",0,5779,6290
"2022","WZTCB","Waste, excluding biodiesel, total consumption","Billion Btu",1001,6083,17888
"2022","WXICP","Waxes consumed by the industrial sector","Thousand barrels",0,21,40
"2022","WXICB","Waxes consumed by the industrial sector","Billion Btu",0,114,219
"2022","WXICV","Waxes expenditures in the industrial sector","Million dollars",0,4.6,8.9
"2022","WXICD","Waxes price in the industrial sector","Dollars per million Btu",0,40.55,40.55
"2022","WYCCP","Wind electricity net generation in the commercial sector","Million kilowatthours",0,0,0
"2022","WYEGP","Wind electricity net generation in the electric power sector","Million kilowatthours",0,498,51
"2022","WYICP","Wind electricity net generation in the industrial sector","Million kilowatthours",0,0,0
"2022","WYTCP","Wind electricity total net generation","Million kilowatthours",0,498,51
"2022","WYCCB","Wind energy consumed by the commercial sector","Billion Btu",0,0,0
"2022","WYICB","Wind energy consumed by the industrial sector","Billion Btu",0,0,0
"2022","WYEGB","Wind energy consumed for electricity generation by the electric power sector","Billion Btu",0,1698,174
"2022","WYTCB","Wind energy total consumption","Billion Btu",0,1698,174
"2022","WYTXB","Wind energy total end-use consumption","Billion Btu",0,0,0
"2022","WYTXP","Wind energy total end-use net generation","Million kilowatthours",0,0,0
"2022","WYCAS","Wind generating units capacity factor","Percent",0,29.9,48.4
"2022","WYGBP","Wind generating units net summer capacity in all sectors","Thousand kilowatts",0,190,12
"2022","WWTXD","Wood and waste average price, all end-use sectors","Dollars per million Btu",0.84,10.72,4.35
"2022","WWTCD","Wood and waste average price, all sectors","Dollars per million Btu",0.84,5.91,4.15
"2022","WWEIB","Wood and waste consumed by the electric power sector","Billion Btu",0,5779,29860
"2022","WWCCB","Wood and waste consumed in the commercial sector","Billion Btu",1001,1487,12860
"2022","WWICB","Wood and waste consumed in the industrial sector","Billion Btu",0,777,59614
"2022","WWCSB","Wood and waste energy consumed in the commercial sector at a cost","Billion Btu",1001,872,10648
"2022","WWCXB","Wood and waste energy consumed in the commercial sector at no cost","Billion Btu",0,615,2212
"2022","WWISB","Wood and waste energy consumed in the industrial sector at a cost","Billion Btu",0,414,48376
"2022","WWIXB","Wood and waste energy consumed in the industrial sector at no cost","Billion Btu",0,363,11238
"2022","WWPRB","Wood and waste energy production","Billion Btu",1001,14651,135863
"2022","WWSCB","Wood and waste energy total consumption, adjusted for fuels with no direct cost","Billion Btu",1001,9649,98180
"2022","WWCCV","Wood and waste expenditures in the commercial sector","Million dollars",0.8,6.7,26.3
"2022","WWEIV","Wood and waste expenditures in the electric power sector","Million dollars",0,15.6,110
"2022","WWICV","Wood and waste expenditures in the industrial sector","Million dollars",0,1.1,149.5
"2022","WWCCD","Wood and waste price in the commercial sector","Dollars per million Btu",0.84,7.62,2.47
"2022","WWEID","Wood and waste price in the electric power sector","Dollars per million Btu",0,2.69,3.69
"2022","WWICD","Wood and waste price in the industrial sector","Dollars per million Btu",0,2.6,3.09
"2022","WWTCB","Wood and waste total consumption","Billion Btu",1001,14651,126109
"2022","WWTXB","Wood and waste total end-use consumption","Billion Btu",1001,8872,96249
"2022","WWTXV","Wood and waste total end-use expenditures","Million dollars",0.8,41.5,297.3
"2022","WWTCV","Wood and waste total expenditures","Million dollars",0.8,57.1,407.3
"2022","WDEIB","Wood consumed by the electric power sector","Billion Btu",0,0,23569
"2022","WDCCB","Wood energy consumed by the commercial sector","Billion Btu",0,1487,3632
"2022","WDICB","Wood energy consumed by the industrial sector","Billion Btu",0,473,57243
"2022","WDRCB","Wood energy consumed by the residential sector","Billion Btu",0,6608,23775
"2022","WDRSB","Wood energy consumed in the residential sector at a cost","Billion Btu",0,2584,9296
"2022","WDRXB","Wood energy consumed in the residential sector at no cost","Billion Btu",0,4024,14479
"2022","WDPRB","Wood energy production","Billion Btu",0,8568,117973
"2022","WDTCB","Wood energy total consumption","Billion Btu",0,8568,108219
"2022","WDRCV","Wood expenditures in the residential sector","Million dollars",0,33.8,121.5
"2022","WDGBP","Wood generating units net summer capacity in all sectors","Thousand kilowatts",0,3,497
